feature,importance
sq_mt_built,1378
n_rooms,490
n_bathrooms,323
district_id_5,211
district_id_15,191
district_id_6,157
district_id_11,152
house_type_id_HouseType_2_Casa_o_chalet,151
has_terrace,151
has_pool,137
district_id_4,125
has_storage_room,116
has_ac,110
house_type_id_HouseType_1_Pisos,102
has_balcony,101
has_parking,99
district_id_14,98
has_fitted_wardrobes,93
has_green_zones,82
district_id_8,68
district_id_9,65
house_type_id_HouseType_5_ticos,58
is_new_development,55
has_lift,52
district_id_19,44
is_accessible,43
district_id_17,42
district_id_3,34
district_id_1,32
district_id_7,30
district_id_20,29
district_id_13,29
district_id_18,26
is_exterior,12
district_id_10,7
house_type_id_HouseType_4_D_plex,5
district_id_12,2
district_id_2,0
