feature,importance
sq_mt_built,2411
n_rooms,1103
n_bathrooms,504
has_ac,387
district_id_5,357
has_terrace,312
district_id_15,295
has_parking,279
has_storage_room,278
has_pool,269
district_id_6,268
district_id_4,266
has_fitted_wardrobes,264
has_balcony,256
district_id_11,197
house_type_id_HouseType_2_Casa_o_chalet,172
house_type_id_HouseType_1_Pisos,168
has_green_zones,165
district_id_14,155
has_lift,147
is_accessible,146
district_id_8,108
is_new_development,107
house_type_id_HouseType_5_ticos,89
district_id_3,89
is_exterior,88
district_id_13,86
district_id_17,78
district_id_9,75
district_id_19,72
district_id_20,70
district_id_18,65
district_id_1,60
district_id_7,35
district_id_10,18
house_type_id_HouseType_4_D_plex,17
district_id_12,8
district_id_2,0
