feature,importance
sq_mt_built,531
n_rooms,163
n_bathrooms,113
district_id_5,92
district_id_15,78
district_id_6,66
house_type_id_HouseType_2_Casa_o_chalet,55
district_id_11,54
has_pool,49
district_id_4,47
district_id_14,42
has_ac,38
has_terrace,35
has_balcony,34
district_id_9,32
district_id_8,30
has_green_zones,26
house_type_id_HouseType_5_ticos,26
has_lift,24
is_new_development,24
has_fitted_wardrobes,23
has_storage_room,22
house_type_id_HouseType_1_Pisos,20
has_parking,18
district_id_19,18
district_id_20,11
district_id_7,11
district_id_3,11
district_id_17,10
district_id_13,10
district_id_18,9
district_id_1,8
is_accessible,6
is_exterior,3
house_type_id_HouseType_4_D_plex,1
district_id_10,0
district_id_2,0
district_id_12,0
