feature,importance
sq_mt_built,610
n_rooms,185
district_id_5,117
district_id_15,115
n_bathrooms,103
district_id_6,82
house_type_id_HouseType_2_Casa_o_chalet,81
district_id_11,67
district_id_4,62
district_id_14,55
has_pool,42
has_terrace,41
has_balcony,37
district_id_8,35
house_type_id_HouseType_1_Pisos,34
has_ac,30
has_green_zones,28
has_storage_room,26
has_lift,25
is_new_development,24
district_id_9,24
house_type_id_HouseType_5_ticos,22
has_fitted_wardrobes,21
has_parking,21
district_id_19,21
district_id_3,16
district_id_13,14
district_id_20,13
district_id_18,13
district_id_17,10
district_id_7,10
district_id_1,6
is_accessible,5
is_exterior,4
district_id_10,1
house_type_id_HouseType_4_D_plex,0
district_id_2,0
district_id_12,0
