feature,importance
sq_mt_built,789
n_rooms,233
n_bathrooms,224
district_id_5,97
district_id_15,75
has_ac,63
has_storage_room,58
has_parking,57
district_id_6,56
has_pool,54
district_id_4,51
district_id_14,49
district_id_11,49
has_balcony,49
house_type_id_HouseType_2_Casa_o_chalet,47
has_fitted_wardrobes,45
has_terrace,43
district_id_8,39
house_type_id_HouseType_1_Pisos,37
district_id_9,31
has_green_zones,28
house_type_id_HouseType_5_ticos,25
is_accessible,25
is_new_development,23
has_lift,23
district_id_3,18
district_id_20,16
district_id_19,15
district_id_17,13
district_id_1,12
district_id_7,10
district_id_18,10
house_type_id_HouseType_4_D_plex,9
district_id_13,9
is_exterior,8
district_id_10,3
district_id_12,1
district_id_2,0
