,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,latitude,longitude,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
0,21742,"Piso en venta en calle de Godella, 64","San Cristóbal, Madrid",64.0,60.0,2,1.0,,,,,"Calle de Godella, 64",False,Calle de Godella,64,,3,False,,Neighborhood 135: San Cristóbal (1308.89 €/m2) - District 21: Villaverde,sale,471,,False,85000,1328,True,HouseType 1: Pisos,False,False,1960.0,,,,True,,False,True,,,,,,,,,,D,False,,,,,False,True,False,False
1,21741,Piso en venta en calle de la del Manojo de Rosas,"Los Ángeles, Madrid",70.0,,3,1.0,,,,,Calle de la del Manojo de Rosas,True,Calle de la del Manojo de Rosas,,,4,False,,Neighborhood 132: Los Ángeles (1796.68 €/m2) - District 21: Villaverde,sale,666,,False,129900,1856,True,HouseType 1: Pisos,True,False,,,,,,True,True,True,,,True,,,,,,,en trámite,False,,,,,,,,
2,21740,"Piso en venta en calle del Talco, 68","San Andrés, Madrid",94.0,54.0,2,2.0,,,,,"Calle del Talco, 68",False,Calle del Talco,68,,1,False,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,722,,False,144247,1535,True,HouseType 1: Pisos,False,False,,False,True,,,True,True,True,,,,,True,,,,,no indicado,False,,,,,,,,
3,21739,Piso en venta en calle Pedro Jiménez,"San Andrés, Madrid",64.0,,2,1.0,,,,,Calle Pedro Jiménez,True,Calle Pedro Jiménez,,,Bajo,True,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,583,,False,109900,1717,True,HouseType 1: Pisos,False,False,1955.0,,,,,,True,True,,,,,True,,,True,,en trámite,False,,,,,False,False,True,False
4,21738,Piso en venta en carretera de Villaverde a Vallecas,"Los Rosales, Madrid",108.0,90.0,2,2.0,,,,,Carretera de Villaverde a Vallecas,True,Carretera de Villaverde a Vallecas,,,4,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,1094,,False,260000,2407,True,HouseType 1: Pisos,False,False,2003.0,,,,True,True,True,True,,True,,,True,,,,True,en trámite,True,,,True,0.0,True,True,True,True
5,21737,Piso en venta en geologia,"San Andrés, Madrid",126.0,114.0,4,2.0,,,,,geologia,True,geologia,,,3,False,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,901,,False,195000,1548,True,HouseType 1: Pisos,False,False,1981.0,False,True,,,,False,True,,,True,True,,,,True,,en trámite,True,,,True,0.0,False,False,False,True
6,21736,Piso en venta en avenida Real de Pinto,"San Andrés, Madrid",120.0,100.0,5,2.0,,,,,Avenida Real de Pinto,True,Avenida Real de Pinto,,,1,False,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,884,,False,190000,1583,True,HouseType 1: Pisos,False,False,,False,True,,True,True,False,True,,True,True,True,True,,,,True,F,True,,,True,0.0,False,False,True,False
7,21735,Piso en venta en San Andrés,"Villaverde, Madrid",125.0,100.0,3,2.0,,,,,,True,,,,2,False,,Neighborhood 134: San Andrés (1617.18 €/m2) - District 21: Villaverde,sale,912,,False,198500,1588,True,HouseType 1: Pisos,False,False,,,,,True,True,False,True,,,True,,,,,,,no indicado,False,,,,,False,False,True,False
8,21734,Piso en venta en Butarque,"Villaverde, Madrid",84.0,70.0,3,2.0,,,,,,True,,,,,,,Neighborhood 131: Butarque (2197.8 €/m2) - District 21: Villaverde,sale,954,,False,212000,2524,True,HouseType 1: Pisos,False,False,,,,,True,True,True,True,,True,,,True,,,True,True,F,True,,,True,0.0,,,,
9,21733,Piso en venta en calle de Martinez Oviol,"Los Rosales, Madrid",85.0,,2,1.0,,,,,Calle de Martinez Oviol,True,Calle de Martinez Oviol,,,7,False,,Neighborhood 133: Los Rosales (1827.79 €/m2) - District 21: Villaverde,sale,672,,False,131400,1546,True,HouseType 1: Pisos,True,False,1950.0,False,True,,,,False,True,,,True,,,,,,,en trámite,False,,,,,False,True,False,False
